Sl. No.,State/UT,5th Instalment (April 2020 to July 2020) - No. of Beneficiaries,5th Instalment (April 2020 to July 2020) - Amount Disbursed (in Rs. Cr.),6th Instalment (August 2020 to November 2020) - No. of Beneficiaries,6th Instalment (August 2020 to November 2020) - Amount Disbursed (in Rs. Cr.),7th Instalment (December 2020 to March 2021) - No. of Beneficiaries,7th Instalment (December 2020 to March 2021) - Amount Disbursed (in Rs. Cr.),8th Instalment (April 2021 to July 2021) - No. of Beneficiaries,8th Instalment (April 2021 to July 2021) - Amount Disbursed (in Rs. Cr.),9th Instalment (August 2021 to November 2021) - No. of Beneficiaries,9th Instalment (August 2021 to November 2021) - Amount Disbursed (in Rs. Cr.),10th Instalment (December 2021 to March 2022) - No. of Beneficiaries,10th Instalment (December 2021 to March 2022) - Amount Disbursed (in Rs. Cr.),11th Instalment (April 2022 to July 2022) - No. of Beneficiaries,11th Instalment (April 2022 to July 2022) - Amount Disbursed (in Rs. Cr.),12th Instalment (August 2022 to November 2022) - No. of Beneficiaries,12th Instalment (August 2022 to November 2022) - Amount Disbursed (in Rs. Cr.),13th Instalment (December 2022 to March 2023) - No. of Beneficiaries,13th Instalment (December 2022 to March 2023) - Amount Disbursed (in Rs. Cr.),14th Instalment (April 2023 to July 2023) - No. of Beneficiaries,14th Instalment (April 2023 to July 2023) - Amount Disbursed (in Rs. Cr.),15th Instalment (August 2023 to November 2023) - No. of Beneficiaries,15th Instalment (August 2023 to November 2023) - Amount Disbursed (in Rs. Cr.),16th Instalment (December 2023 to March 2024) - No. of Beneficiaries,16th Instalment (December 2023 to March 2024) - Amount Disbursed (in Rs. Cr.),17th Instalment (April 2024 to July 2024) - No. of Beneficiaries,17th Instalment (April 2024 to July 2024) - Amount Disbursed (in Rs. Cr.),18th Instalment (August 2024 to November 2024) - No. of Beneficiaries,18th Instalment (August 2024 to November 2024) - Amount Disbursed (in Rs. Cr.),19th Instalment (December 2024 to March 2025) - No. of Beneficiaries,19th Instalment (December 2024 to March 2025) - Amount Disbursed (in Rs. Cr.)
18,Lakshadweep,650,0.29,700,0.23,827,0.17,870,0.26,833,0.17,NA,NA,NA,NA,841,0.5,725,0.15,1436,1.98,1211,0.4,1314,0.54,1972,0.54,2198,0.45,2303,0.5
19,Madhya Pradesh,7494283,1831.65,7853625,1649.97,8000443,1679.08,8260082,1757.94,8329618,1698.24,8452138,1737.2,8347904,1730.1,8158936,1681.53,7144651,1467.32,7642673,1684.92,7568448,1705.95,7987475,1808.34,8080410,1679.85,8137378,1682.12,8333799,1767.03
20,Maharashtra,9697559,2189.06,10520967,2282.5,10392774,2201.19,9238521,1928.08,10252878,2316.49,10445449,2187.87,10126235,2059.92,9026775,1889.52,8122854,1709.19,8560228,1867.23,8454904,1996.35,8961725,2025.34,9143101,1940.12,9143517,1888.54,9260727,1961.26
21,Manipur,454134,95.16,350676,70.78,356367,72.3,287288,58.81,277913,56.84,280143,61.52,364833,105.95,366207,86.95,NA,NA,3711,1.72,5871,2.53,104234,70.38,79194,28.01,85932,42.79,85965,25.6
22,Meghalaya,162524,34.67,177153,35.82,181428,36.81,180845,36.97,191116,40.17,186232,38.51,96317,19.74,19950,4.86,10864,3.04,33388,15.8,55836,32.14,101537,56.83,130649,49.02,150413,33.91,182513,44.22
23,Mizoram,124448,26.55,131990,27.05,145311,29.99,102195,22.28,104174,21.81,96172,20.66,86580,18.06,87298,18.46,41699,9.32,50743,14.71,55888,19.53,86246,54.93,99140,36.82,110964,31.68,123524,33.65
24,Nagaland,190781,41.31,195927,40.68,196710,39.97,174708,35.25,196940,44.73,199290,42.76,182664,37.9,195620,42.45,113538,23.13,135346,32.56,118825,29.29,144405,36.46,162277,49.02,171921,42.84,185868,49.41
25,Odisha,2102663,431.14,2277018,467.87,2493444,559.08,2946616,1056.19,3203303,844.17,3278430,769.79,3310686,709.86,2154908,450.88,2348557,632.3,2693133,698.85,2496882,703.12,2896597,792.82,3058332,737.89,3150678,689.02,3492835,924.18
26,Puducherry,10198,2.2,10635,2.27,10344,2.1,10251,2.07,10245,2.06,10218,2.06,10157,2.06,9953,2.01,9119,1.83,8316,1.68,8054,1.68,8266,1.94,8182,1.73,8033,1.64,8032,1.65
27,Punjab,1901762,417.89,1904615,384.87,1871660,374.47,1759992,357.07,1738693,349.17,1713931,349.62,1697444,340.94,207564,41.87,861015,308.69,856693,182.4,497229,152.67,717284,247.63,840274,290.56,926132,272.81,1023521,327.46
28,Rajasthan,5710243,1463.78,6315729,1425.43,6641898,1432.92,6933839,1600.96,6968492,1468.2,7143603,1525.23,7111460,1493.29,5672291,1164.1,5389297,1136.75,5688854,1283.27,4865932,1179.78,6260727,1641.19,6725726,1525.64,7032027,1545.08,7306768,1661.37
29,Sikkim,5681,2.34,6091,1.22,7917,1.58,9558,2.36,9754,2.04,9911,2.23,9490,2.26,11206,4.42,8052,1.98,10617,2.84,13945,6.73,20607,9.72,24364,6.4,28104,6.66,30515,7.17
30,Tamil Nadu,4304758,933.64,4408836,902.8,3751568,756.76,3774706,792.53,3709969,744.82,3673806,742.29,3192735,707.52,2207417,452.94,2029571,414.31,2095323,443.91,2045366,491.39,2150555,503.46,2183435,460.03,2194651,455.94,2250180,490.42
31,Telangana,3473585,748.58,3586323,735.54,3574008,729.98,3549963,730.54,3593144,793.92,3606996,753.59,3553309,740.78,3253047,656.34,2984823,615.11,2951129,614.59,2871812,664.13,3064930,765.35,3098123,654.66,3077516,627.51,3106592,649.15
32,Dadra and Nagar Haveli and Daman and Diu,14035,2.92,9410,1.88,9690,1.95,9849,2.11,7561,2.68,11481,3.7,12737,3.71,12599,2.6,11429,2.34,11492,2.42,10346,2.33,11335,3.22,11567,2.56,11587,2.44,11691,2.46
33,Tripura,199346,42.92,210166,42.74,219043,44.48,212358,43.99,214747,43.71,219098,46.24,233210,53.59,231362,49.4,219164,44.63,221258,45.63,194950,44.57,215284,49.14,225528,55.5,229366,47.67,236514,50.82
34,Uttar Pradesh,21312145,5056.93,21907403,4620.65,22816796,4754.53,23726074,5517.12,23957522,5058.28,24174417,5199.61,24096709,5043.46,18227643,3717.19,17427353,3693.39,18654256,4249.92,17561389,4181.87,20364793,5376.64,21486114,4830.39,22579461,4982.59,23542883,5489.68
35,Uttarakhand,767903,169.53,833794,174.78,849303,174.37,836890,174.74,878373,185.8,891441,186.58,889330,182.19,672735,136.06,720079,157.79,759704,168.86,679677,160.88,751027,183.23,786760,177.97,796983,168.76,820368,180.94
36,West Bengal,NA,NA,NA,NA,NA,NA,2029753,573.53,3584790,980.01,4629277,1074.79,4678485,1030.14,4444111,928.72,4291039,881.48,4472175,1004.2,3980679,909.34,4405643,1140.25,4498404,964.42,4503169,931.55,4555495,979.03
Grand Total,Grand Total,92693902,20989.46,97227173,20476.24,98475226,20474.95,99915224,22415.06,103445600,22395.43,104167787,22343.3,104843465,22617.98,85737576,18041.35,81237172,17650.07,85678805,19203.74,81216535,19596.74,90430715,23088.88,93801342,21056.75,95926746,20665.51,98842900,22270.45
